Date,Open,High,Low,Close,Adj Close,Volume
2022-08-28,0.074405,0.074837,0.072925,0.072925,0.072925,653703
2022-08-29,0.072919,0.076608,0.072791,0.076512,0.076512,885104
2022-08-30,0.076519,0.078199,0.07543,0.076974,0.076974,1102995
2022-08-31,0.076997,0.07904,0.076997,0.077491,0.077491,1027029
2022-09-01,0.077495,0.079136,0.077106,0.078808,0.078808,816523
2022-09-02,0.0788,0.080542,0.078285,0.07898,0.07898,886764
2022-09-03,0.07898,0.078849,0.078264,0.078503,0.078503,479870
2022-09-04,0.078504,0.078908,0.078612,0.078935,0.078935,444503
2022-09-05,0.078947,0.081752,0.079238,0.081625,0.081625,659211
2022-09-06,0.081628,0.084146,0.082906,0.082906,0.082906,1218094
2022-09-07,0.082861,0.085104,0.080443,0.084493,0.084493,1013999
2022-09-08,0.084488,0.085325,0.083667,0.084602,0.084602,911598
2022-09-09,0.084594,0.081966,0.084495,0.080402,0.080402,946737
2022-09-10,0.080396,0.082007,0.080558,0.081926,0.081926,605655
2022-09-11,0.081916,0.08199,0.080387,0.080931,0.080931,572564
2022-09-12,0.080944,0.08008,0.076986,0.076608,0.076608,790703
2022-09-13,0.076617,0.077149,0.077662,0.078319,0.078319,1142826
2022-09-14,0.078025,0.080846,0.077662,0.080764,0.080764,884199
2022-09-15,0.08078,0.081428,0.074451,0.074701,0.074701,1367747
2022-09-16,0.074713,0.07485,0.072914,0.072446,0.072446,847881
2022-09-17,0.072468,0.073319,0.071483,0.073021,0.073021,536483
2022-09-18,0.073019,0.073019,0.068608,0.068762,0.068762,811673
2022-09-19,0.068759,0.070708,0.06971,0.070484,0.070484,957460
2022-09-20,0.070488,0.070534,0.069813,0.070108,0.070108,779338
2022-09-21,0.070098,0.071073,0.067205,0.067535,0.067535,1113014
2022-09-22,0.067479,0.06874,0.067309,0.068389,0.068389,950961
2022-09-23,0.068379,0.069542,0.068071,0.06883,0.06883,972715
2022-09-24,0.068829,0.070424,0.069586,0.069599,0.069599,638866
2022-09-25,0.069596,0.069825,0.068188,0.068834,0.068834,627731
2022-09-26,0.068843,0.069492,0.068439,0.069466,0.069466,834148
2022-09-27,0.069467,0.068696,0.069133,0.069602,0.069602,935117
2022-09-28,0.069571,0.06895,0.067928,0.068844,0.068844,977776
2022-09-29,0.068851,0.068896,0.068335,0.068239,0.068239,704893
2022-09-30,0.068239,0.068075,0.068333,0.068341,0.068341,733340
2022-10-01,0.068352,0.068439,0.06791,0.067918,0.067918,322490
2022-10-02,0.067924,0.067992,0.067207,0.067007,0.067007,397937
2022-10-03,0.067011,0.067814,0.066745,0.067441,0.067441,517391
2022-10-04,0.067433,0.067012,0.06761,0.066978,0.066978,498591
2022-10-05,0.066971,0.066995,0.066371,0.067103,0.067103,484827
2022-10-06,0.067101,0.06765,0.067774,0.067736,0.067736,603019
2022-10-07,0.067743,0.067861,0.068028,0.06817,0.06817,514744
2022-10-08,0.068163,0.068203,0.067706,0.067751,0.067751,298955
2022-10-09,0.067749,0.067976,0.067557,0.068013,0.068013,282120
2022-10-10,0.068013,0.068466,0.067463,0.067463,0.067463,459447
2022-10-11,0.067451,0.067636,0.067195,0.067164,0.067164,486832
2022-10-12,0.067173,0.067977,0.067084,0.067593,0.067593,436156
2022-10-13,0.067593,0.067755,0.065596,0.066457,0.066457,902808
2022-10-14,0.066453,0.067597,0.066421,0.067625,0.067625,683519
2022-10-15,0.067619,0.067711,0.066694,0.066861,0.066861,356547
2022-10-16,0.066868,0.067853,0.066868,0.067796,0.067796,388810
2022-10-17,0.067797,0.068181,0.067645,0.068116,0.068116,480861
2022-10-18,0.068113,0.068317,0.067409,0.067778,0.067778,538767
2022-10-19,0.067784,0.067836,0.067096,0.067177,0.067177,436306
2022-10-20,0.067173,0.067762,0.067207,0.067346,0.067346,472826
2022-10-21,0.067346,0.067885,0.067131,0.067803,0.067803,543100
2022-10-22,0.0678,0.068536,0.067679,0.068424,0.068424,373555
2022-10-23,0.068421,0.06968,0.068125,0.069681,0.069681,506440
2022-10-24,0.069683,0.069856,0.069105,0.069525,0.069525,676786
2022-10-25,0.06951,0.07423,0.069369,0.072735,0.072735,1262315
2022-10-26,0.072708,0.075735,0.072736,0.075423,0.075423,1574620
2022-10-27,0.075436,0.075594,0.074552,0.074652,0.074652,1124602
2022-10-28,0.074649,0.075794,0.074324,0.075526,0.075526,969861
2022-10-29,0.075516,0.07895,0.075344,0.077801,0.077801,1038412
2022-10-30,0.077801,0.078268,0.076843,0.077089,0.077089,675050
2022-10-31,0.077075,0.078424,0.076507,0.076734,0.076734,941995
2022-11-01,0.07673,0.077845,0.077019,0.077114,0.077114,708182
2022-11-02,0.077104,0.077844,0.074941,0.075384,0.075384,1153511
2022-11-03,0.075385,0.076411,0.075296,0.075781,0.075781,705015
2022-11-04,0.075774,0.078351,0.075712,0.077792,0.077792,983910
2022-11-05,0.077795,0.077746,0.076488,0.076493,0.076493,517180
2022-11-06,0.076489,0.076835,0.075131,0.075131,0.075131,555886
2022-11-07,0.075121,0.076834,0.075015,0.076135,0.076135,741644
2022-11-08,0.076122,0.076325,0.071065,0.071885,0.071885,2267806
2022-11-09,0.0719,0.071851,0.06901,0.069277,0.069277,2447266
2022-11-10,0.069273,0.075395,0.068849,0.073889,0.073889,1625142
2022-11-11,0.073856,0.074003,0.073122,0.075566,0.075566,1228142
2022-11-12,0.075579,0.075478,0.074562,0.074722,0.074722,652708
2022-11-13,0.074732,0.075165,0.073922,0.074714,0.074714,655367
2022-11-14,0.074718,0.075256,0.073714,0.074714,0.074714,904312
2022-11-15,0.074718,0.075348,0.074184,0.074135,0.074135,698743
2022-11-16,0.074139,0.074572,0.07261,0.072924,0.072924,716255
2022-11-17,0.072939,0.073235,0.072154,0.071958,0.071958,582690
2022-11-18,0.071958,0.072476,0.071958,0.072602,0.072602,477903
2022-11-19,0.072597,0.073172,0.072435,0.072909,0.072909,357761
2022-11-20,0.07291,0.073134,0.069985,0.070125,0.070125,592383
2022-11-21,0.070121,0.070121,0.069111,0.070205,0.070205,891863
2022-11-22,0.070176,0.070163,0.06894,0.070117,0.070117,743721
2022-11-23,0.070132,0.071288,0.069861,0.071231,0.071231,676833
2022-11-24,0.07124,0.072557,0.071349,0.07251,0.07251,584564
2022-11-25,0.072499,0.072499,0.071685,0.072566,0.072566,331882
2022-11-26,0.072558,0.07373,0.072518,0.073243,0.073243,308192
2022-11-27,0.073244,0.073607,0.07267,0.072676,0.072676,272854
2022-11-28,0.072666,0.072755,0.071958,0.07215,0.07215,448620
2022-11-29,0.072137,0.074103,0.072054,0.073998,0.073998,464543
2022-11-30,0.074,0.075817,0.073885,0.075469,0.075469,572961
2022-12-01,0.075473,0.075495,0.074625,0.07522,0.07522,404189
2022-12-02,0.075224,0.07574,0.075108,0.07574,0.07574,363612
2022-12-03,0.075749,0.075996,0.073459,0.073534,0.073534,335494
2022-12-04,0.073527,0.074743,0.073509,0.074736,0.074736,302042
2022-12-05,0.074721,0.074993,0.073988,0.074209,0.074209,360555
2022-12-06,0.074219,0.074427,0.07354,0.074411,0.074411,297798
2022-12-07,0.074406,0.074398,0.073015,0.07315,0.07315,341415
2022-12-08,0.073151,0.07457,0.072927,0.074339,0.074339,361347
2022-12-09,0.074337,0.074708,0.073716,0.073792,0.073792,333049
2022-12-10,0.073797,0.074318,0.073666,0.073933,0.073933,191637
2022-12-11,0.073935,0.074355,0.073654,0.073892,0.073892,196560
2022-12-12,0.073875,0.074219,0.073498,0.074078,0.074078,299371
2022-12-13,0.074081,0.07483,0.073533,0.074266,0.074266,495626
2022-12-14,0.074274,0.073685,0.073609,0.073493,0.073493,439553
2022-12-15,0.073485,0.073468,0.072876,0.072926,0.072926,347418
2022-12-16,0.072932,0.073067,0.070021,0.070176,0.070176,558512
2022-12-17,0.070165,0.070781,0.070146,0.070744,0.070744,302306
2022-12-18,0.070743,0.071123,0.070426,0.070696,0.070696,199910
2022-12-19,0.070698,0.070984,0.070739,0.071024,0.071024,300713
2022-12-20,0.07104,0.07195,0.07095,0.072027,0.072027,395412
2022-12-21,0.07202,0.072026,0.071819,0.072163,0.072163,250761
2022-12-22,0.072167,0.072749,0.071546,0.07238,0.07238,314757
2022-12-23,0.072374,0.072581,0.072397,0.072642,0.072642,287899
2022-12-24,0.072639,0.07264,0.072284,0.072481,0.072481,155876
2022-12-25,0.072483,0.072575,0.071831,0.072376,0.072376,234101
2022-12-26,0.072374,0.072517,0.072155,0.072517,0.072517,193980
2022-12-27,0.072518,0.072581,0.071984,0.072548,0.072548,244750
2022-12-28,0.072544,0.072498,0.071846,0.071891,0.071891,301565
2022-12-29,0.071893,0.072335,0.071976,0.072201,0.072201,248296
2022-12-30,0.0722,0.072226,0.07234,0.072232,0.072232,244279
2022-12-31,0.072239,0.072503,0.072164,0.072323,0.072323,182415
2023-01-01,0.07232,0.072381,0.072163,0.072238,0.072238,144341
